,Tweet,Sentiment
0,Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the … ,negative
1,@narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil … ,positive
2,@Atheist_Krishna Jcb full trend me chal rahi aa   ,positive
3,@AbhisharSharma_@RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m … ,positive
4,@noirnaveed @AngelAhana6 @cricketworldcup Bhosdike tum pechvade ki tatti hi rahoge bc   ,negative
5,Love u Bhaijan ...♥♥ Father + son .. #Bharat #IAmBharat #BharatThisEid BEST Pic From Entire #Promotions ... Mashallah … ,positive
6,@manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai . Har koi tumhari tarh … ,negative
7,@Mahlogo_nolo Weni ankere o gae this weekend 😂😂😂😂😂   ,positive
8,@Aurangzeb_AIMIM @SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus … ,negative
9,@reema_omer @BushraGohar @QasimKhanSuri @Ali_MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak … ,negative
10,@cooladitaya @khanumarfa Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun … ,negative
11,@HYUN7lN saf baby (( i’m sorry i wasn’t online i hope you’re sleeping well though i love you   ,positive
12,@Nevveon Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain ... i'm sad for no reason solmon (((   ,negative
13,@mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho . Pakistan … ,negative
14,@AnupamPKher Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this type of media channel   ,negative
15,@EkThaEngg @AnupamPKher Abe mc .. nhi malum to ammi mat chuda bsdk .. grahm stains ko dara singh ne mara tha adivasiy … ,negative
16,@tamashbeen_Well chara Chor ke chele this news is a year old ...   ,negative
17,Twitter k baghair apna roza mumkin nahi hota ? Apna chutiyaap dusron per thopna band karo Bhai ! ,positive
18,Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone of your OTHER clusterfuck   ,negative
19,@asadowaisi @PMOIndia Mp me govt kamalnath ki h ... Wese ek or video viral h jisme aapke shantidut bhai ek dukandar … ,negative
20,@idevadhikari Dev da tmr new movie song Ami tmk valobasi I really loved ❤😘 a lot 😍😘☺❤💓   ,neutral
21,Abe BC kya le jayenge yeh toh batah abhi 😜 #PAKvWI Babaji Ka Thullu 😂 ,positive
22,I hope I see my baby this weekend but highly doubt it 🥺 ugh   ,neutral
23,@DesiStupides Teri ma ka sakinaka tujhe Bhadi chinta ho rahi aaj ab 2014 se pehle bhadve log bethe the tab tu dudh … ,negative
24,@RubikaLiyaquat Isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh … ,neutral
25,@AskAnshul Jai Shri Ram Jai Shri Krishna Jai Bajrang Bali Jai Bholenath !!! Hum log Bolne lage to rukenge nahi … ,negative
26,@praneeth_rao @IndiaHistorypic Hindi tumhari bass ki nahi . Nahi seekh paoge . Darte ho kahin Hindi me marks hi nahi … ,negative
27,@TalhaGhouri786 @shahidmemon20 Hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne ....... Lanat tere te patwari   ,negative
28,RT @shirai_io On sale today #NXTTakeOverXXV !! It’s my entrance mask . quality is very very nice 👍🏻 Even back side too . Coming soon @WW …   ,positive
29,@Alee_Ch1 @SHABAZGIL Pakeeza language ka istemaal tu koi Nooni bhayoon se poochhay Youthie pe aewen e criticism karte Hain . Yeh bhi sahb   ,neutral
30,@SenTi_GuLwisH Nahi wo is news ko defend kerne ki koshesh ker rhe hain ,neutral
31,RT @vikas_murali @sardesairajdeep Noone cares We will boycott world cup till #Nesamani recovers and his attacker Krishnamurthy is arreste …   ,neutral
32,@M_AHMAD884 @shahnaveid 1971 😂🤣🤣 Lulli hoti nahi khadi Baten karalo badi badi ,neutral
33,RT @FaizanSays23 Dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman to baare paak daman ho gaya . ~ Momin khan Momin   ,neutral
34,@kanhaiyakumar @kanhaiyakumar beta nafrat tum jaise jahil ( illiterate ) failate hain Pata nhi kon si phd chal rhi h … ,negative
35,@MirchiSayema One of my favorites too . Another one at the beginning of the movie . Chhoti-chhoti chitrayi yaadein … ,positive
36,@waseemAli0007 @_Mansoor_Ali @ImranKhanPTI Tera nam taray ander ki jalan btaa raha hai . Sari duniya main oil price … ,negative
37,@cbhanp . JAI BHEEM . . Great News for BAHUJAN KUMBKARNAAS becoz of whom this is in Happening . This is the Kick St … ,neutral
38,don’t u love when the one person that gave a fuck about u is dead -)   ,neutral
39,@maham_zaini_@peaceforchange En ki zalalat ki daastano se tareekh k aoraaq bhare pare hai behna ye aise nahi samaj … ,positive
